neon001 | 2.37M | d=256 ff=512 h=4 L=4 | total=2,371,072 emb=0 non_emb=2,371,072
neon143: 3.16M (d=256, ff=678, h=4, L=4)
neon144: 3.15M (d=256, ff=572, h=4, L=4)
neon145: 3.16M (d=256, ff=507, h=4, L=4)
neon146: 3.15M (d=256, ff=336, h=4, L=4)
neon147: 3.16M (d=256, ff=507, h=4, L=4)
neon148: 3.16M (d=256, ff=571, h=4, L=4)
neon149: 3.15M (d=256, ff=574, h=4, L=4)
neon150: 3.16M (d=256, ff=575, h=4, L=4)
neon151: 3.15M (d=256, ff=488, h=4, L=4)
neon152: 3.16M (d=256, ff=507, h=4, L=4)
neon153: 3.15M (d=256, ff=507, h=4, L=4)
neon154: 3.16M (d=256, ff=510, h=4, L=4)
neon155: 3.15M (d=256, ff=423, h=4, L=4)
neon156: 3.15M (d=256, ff=675, h=4, L=4)
neon157: 3.16M (d=256, ff=680, h=4, L=4)
neon158: 3.16M (d=256, ff=683, h=4, L=4)
neon159: 3.15M (d=256, ff=679, h=4, L=4)
neon160: 3.16M (d=256, ff=654, h=4, L=4)
neon161: 3.15M (d=256, ff=207, h=4, L=8)
neon162: 3.15M (d=256, ff=194, h=4, L=8)
neon163: 3.15M (d=256, ff=155, h=4, L=8)
neon164: 3.15M (d=256, ff=204, h=4, L=8)
neon165: 3.15M (d=256, ff=207, h=4, L=8)
neon166: 3.15M (d=256, ff=205, h=4, L=8)
neon167: 5.28M (d=272, ff=1072, h=4, L=4)
neon168: 5.28M (d=272, ff=1072, h=4, L=4)
neon169: 5.30M (d=272, ff=1072, h=4, L=4)
neon170: 5.30M (d=272, ff=1072, h=4, L=4)
neon171: 5.28M (d=272, ff=1072, h=4, L=4)
neon172: 5.28M (d=272, ff=1072, h=4, L=4)
neon173: 5.29M (d=272, ff=1072, h=4, L=4)
neon174: 5.29M (d=272, ff=1140, h=4, L=4)
neon175: 5.28M (d=272, ff=1140, h=4, L=4)
neon176: 5.29M (d=272, ff=1140, h=4, L=4)
neon177: 5.28M (d=272, ff=972, h=4, L=5)
neon178: 5.28M (d=272, ff=1014, h=4, L=4)
neon179: 5.28M (d=272, ff=1072, h=4, L=4)
neon180: 5.28M (d=272, ff=1072, h=4, L=4)
neon181: 5.28M (d=272, ff=1072, h=4, L=4)
neon182: 5.27M (d=272, ff=1072, h=4, L=4)
neon183: 5.28M (d=272, ff=1072, h=4, L=4)
neon184: 5.28M (d=272, ff=1072, h=4, L=4)
neon185: 5.28M (d=272, ff=1072, h=4, L=4)
neon186: 5.28M (d=272, ff=1072, h=4, L=4)
neon187: 5.28M (d=272, ff=1072, h=4, L=4)
